pLivr,dateCreation,article_id,filiere,desiArticle,dPr,ctrPr,qteOrdre,prixCmd,prixNet,annee,mois,dateCRD,hierarchi3,hierarchi2,hie3_2,hie_filiere,pExp,paysClient,clientDesignation,clientLivr,Gest,AS,ZDis
0,2024-08-09,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,81.32,40.66,2025,1,2025-01-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
0,2024-09-06,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,12,2024-12-18,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2024-09-06,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,1,52.38,52.38,2025,2,2025-02-07,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
0,2024-09-06,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2025,2,2025-02-14,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-09-06,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,81.32,40.66,2025,2,2025-02-13,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-10-18,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,3,121.98,40.66,2025,2,2025-02-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-10-31,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,3,121.98,40.66,2025,2,2025-02-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
0,2025-01-15,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,1,78.78,78.78,2025,1,2025-01-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2025-01-15,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,1,78.78,78.78,2025,1,2025-01-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2025-02-19,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,549.49,549.49,2025,3,2025-03-05,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2025-02-19,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,84.04,42.02,2025,3,2025-03-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2025-02-19,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,157.56,78.78,2025,3,2025-03-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
4,2019-07-08,AE_AJA52111039000,ASSEMBLAGE,AJA52111039000 CREW DOOR TROLLEY,250,AEMAREC,1,32185.05,32185.05,2022,6,2022-06-21,A400M,ASSEMBLAGE,A400M-ASSEMBLAGE,A400M-ASSEMBLAGE,NX02,,,20202,RQM,,Z4
3,2020-07-01,M523P300220000,RECHANGE_AIRBUS,BROCHE A BILLES 575971,112,AEMAWPRAM,2,1169.8,584.9,2022,1,2022-01-26,RAMPE A400M,RECHANGE AIRBUS,RAMPE A400M-RECHANGE AIRBUS,RAMPE A400M-RECHANGE_AIRBUS,Z2,,,20202,RYR,40.0,Z4
